Matrix size;Blocks;Threads per block;Total time;Operations time;
1024;16320;64;0.022364;0.003664;
2050;262144;16;0.076773;0.014345;
4098;1048576;16;0.275818;0.052390;
8198;4198401;16;0.952505;0.209435;
2050;131072;32;0.082081;0.013737;
4098;524288;32;0.254603;0.052644;
8198;2099200;32;0.951238;0.210051;
2050;65536;64;0.084098;0.013827;
4098;262144;64;0.278342;0.053676;
8198;1049600;64;0.949582;0.212613;
2050;32768;128;0.088902;0.013963;
4098;131072;128;0.262127;0.052534;
8198;524800;128;0.939451;0.210131;
2050;16384;256;0.075737;0.013868;
4098;65536;256;0.270039;0.052327;
8198;262400;256;0.942151;0.210686;
